Organization,Repo Name,Stars,Forks,Primary Language,Topics
apple,app-store-server-library-java,86,21,Java,
apple,app-store-server-library-node,84,18,TypeScript,
apple,app-store-server-library-python,98,19,Python,
apple,app-store-server-library-swift,159,20,Swift,
apple,apple-llvm-infrastructure-tools,39,25,C++,
apple,apple_rules_lint,133,19,Starlark,
apple,ARKitScenes,558,55,Python,
apple,AudioUnit-Examples,69,5,Swift,
apple,AudioUnitSDK,149,31,C++,
apple,axlearn,567,104,Python,
apple,batch-processing-gateway,162,35,Java,batch-processing;k8s;kubernetes;spark
apple,ccs-caldavclientlibrary,40,26,HTML,
apple,ccs-caldavtester,54,36,Python,
apple,ccs-calendarserver,479,151,Python,
apple,ccs-pycalendar,70,38,Python,
apple,ccs-pykerberos,118,65,C,
apple,ccs-pyopendirectory,20,25,C++,
apple,ccs-pyosxframeworks,23,28,Python,
apple,ccs-pysecuretransport,20,22,Python,
apple,ccs-twistedextensions,16,29,Python,
apple,coremltools,3959,575,Python,coremltools;tensorflow;pytorch;coreml;machine-learning;model-converter;model-conversion
apple,cups,1814,443,C,ipp-protocol;printing;printer;snmp;ipp
apple,darwin-libplatform,126,53,C,
apple,darwin-libpthread,158,68,C,
apple,darwin-xnu,10861,1629,C,kernel
apple,device-management,513,47,,
apple,dnikit,62,3,Python,fairness-ml;introspection;machine-learning;python;ai;bias;compression;data;fairness;ml;data-duplication
apple,example-package-dealer,320,119,Swift,
apple,example-package-deckofplayingcards,182,76,Swift,
apple,example-package-figlet,11,5,Swift,
apple,example-package-fisheryates,182,68,Swift,
apple,example-package-playingcard,308,98,Swift,
apple,FHIRModels,165,32,Swift,fhir;swift;swift-package-manager
apple,foundationdb,13813,1258,C++,key-value-store;transactional;acid;distributed-database;foundationdb
apple,fstools,52,22,C,
apple,game-center-tools,5,1,Python,
apple,GCGC,437,45,Jupyter Notebook,
apple,homebrew-apple,2224,66,Ruby,
apple,HomeKitADK,2521,237,C,
apple,indexstore-db,300,70,C++,
apple,learning-compressible-subspaces,16,6,Python,
apple,learning-subspaces,125,18,Python,
apple,llvm-monorepo-root,8,9,,
apple,llvm-project,1003,309,,
apple,llvm-project-v5,7,11,C++,
apple,llvm-project-v5-split,5,8,C++,
apple,MaterialX,14,1,,
apple,ml-afv,41,19,Python,neurips-2019
apple,ml-aim,583,33,Python,jax;mlx;pytorch;large-scale-vision-models
apple,ml-all-pairs,34,21,Python,
apple,ml-ane-transformers,2443,78,Python,
apple,ml-aspanformer,167,19,Python,
apple,ml-autofocusformer,100,6,Python,aff;imagenet;object-classification;transformer;autofocusformer
apple,ml-autofocusformer-segmentation,56,2,Python,ade20k;aff;autofocusformer;cityscapes;coco;instance-segmentation;panoptic-segmentation;semantic-segmentation;transformer
apple,ml-batchquant,18,7,Python,
apple,ml-behavioral-testing-for-mt,3,0,,
apple,ml-calibration,61,2,Jupyter Notebook,
apple,ml-capsules-inverted-attention-routing,119,25,Python,iclr2020
apple,ml-cifar-10-faster,56,18,Python,
apple,ml-code-switched-speech-translation,25,11,Python,
apple,ml-codeswitching-translations,4,0,,
apple,ml-collegial-ensembles,10,6,Python,
apple,ml-core,25,11,Python,
apple,ml-covid-mobility,8,6,R,
apple,ml-cread,25,13,Python,
apple,ml-cvnets,1638,209,Python,ade20k;classification;computer-vision;deep-learning;detection;imagenet;machine-learning;mscoco;pascal-voc;pytorch;segmentation
apple,ml-cvpr2019-swd,125,25,Python,cvpr2019
apple,ml-dab,18,6,Python,
apple,ml-data-parameters,72,23,Python,neurips-2019
apple,ml-delphi,9,0,,
apple,ml-destseg,47,8,Python,
apple,ml-dms-dataset,41,11,Python,
apple,ml-dprecs,11,1,Jupyter Notebook,
apple,ml-dr,69,3,Python,
apple,ml-duet,13,2,Python,
apple,ml-entity-deduction-arena,5,0,Python,
apple,ml-entropy-reconstruction,21,2,Python,
apple,ml-envmapnet,57,12,Python,
apple,ml-equivariant-neural-rendering,98,24,Jupyter Notebook,
apple,ml-facelit,458,40,Python,nerf;faces;gan;generative
apple,ml-fastvit,1711,95,Python,
apple,ml-fct,46,7,Python,
apple,ml-ferret,7487,421,Python,
apple,ml-finerecon,119,12,Python,
apple,ml-flair,76,12,Jupyter Notebook,
apple,ml-gaudi,604,23,,
apple,ml-gmpi,332,31,Python,3d;eccv2022;generative-adversarial-network;neural-rendering;pytorch;generative-model;multiplane-images
apple,ml-gsn,287,39,Python,
apple,ml-heart-rate-models,37,3,Python,
apple,ml-hierarchical-confusion-matrix,289,29,TypeScript,confusion-matrix;data-visualization;machine-learning;visual-analytics
apple,ml-hypersim,1551,128,Python,
apple,ml-interspeech2022-phi_rtn,10,2,,language-modeling;machine-learning;speech-recognition;virtual-assistants
apple,ml-kge,13,2,Python,
apple,ml-knowledge-conflicts,56,20,Python,
apple,ml-live-pose,67,3,,
apple,ml-llarp,12,2,Python,
apple,ml-lucid-datagen,12,0,Python,
apple,ml-mgie,3597,231,Python,
apple,ml-mkqa,148,21,Python,dataset;nlp;multilingual-evaluation
apple,ml-mobileclip,158,6,Python,
apple,ml-mobileone,651,56,Swift,
apple,ml-multiple-futures-prediction,123,26,Python,neurips-2019
apple,ml-ncg,10,10,Python,
apple,ml-neilf,105,8,Python,
apple,ml-neilfpp,77,6,Python,
apple,ml-neuman,1235,142,Python,
apple,ml-no-token-left-behind,135,13,Jupyter Notebook,
apple,ml-np-rasp,8,0,Python,
apple,ml-nvas3d,40,4,Python,
apple,ml-pointconvformer,58,3,Python,
apple,ml-pointersect,107,8,Python,
apple,ml-probabilistic-attention,24,8,Python,
apple,ml-projunit,10,0,Python,
apple,ml-qrecc,126,19,Python,
apple,ml-quant,73,22,Python,
apple,ml-reed,8,1,Python,
apple,ml-rlgrad,4,0,Python,
apple,ml-robust-expert-augmentations,23,0,Python,
apple,ml-sad,38,6,Python,
apple,ml-selfcond,25,5,Python,
apple,ml-shuffling-amplification,15,10,Python,
apple,ml-sigma-reparam,262,8,Python,
apple,ml-spatial-librispeech,72,5,,machine-learning;spatial-audio
apple,ml-spin,16,3,Python,
apple,ml-stable-diffusion,15889,843,Python,
apple,ml-stabledreamer,7,0,,
apple,ml-stuttering-events-dataset,71,27,Python,
apple,ml-symphony,54,2,Svelte,computational-notebooks;data-science;data-visualization;machine-learning
apple,ml-tic-clip,12,0,,
apple,ml-tract,40,2,Python,
apple,ml-transcript-translation-consistency-ratings,6,7,,
apple,ml-translate-vis,56,1,TypeScript,data-visualization;machine-translation;visual-analytics
apple,ml-tree-dst,28,9,Python,
apple,ml-tune-mode-convbn,13,0,Python,batch-normalization;convolutional-neural-networks;efficiency;pytorch-fx;transfer-learning
apple,ml-upscale,62,8,Jupyter Notebook,deep-learning;export;machine-learning;pruning
apple,ml-uwac,32,7,Python,
apple,ml-veclip,4,0,Jupyter Notebook,
apple,ml-vfi-smiff,9,2,Python,
apple,ml-vision-transformers-ane,41,1,Python,
apple,openjdk,80,22,Java,
apple,password-manager-resources,3964,421,JavaScript,
apple,pfl-research,108,11,Python,differential-privacy;federated-learning;federated-learning-framework;machine-learning;privacy
apple,pkl,8772,235,Java,pkl;java;kotlin
apple,pkl-go,202,9,Go,
apple,pkl-go-examples,136,8,Go,
apple,pkl-intellij,34,5,Kotlin,
apple,pkl-jvm-examples,52,7,Groovy,
apple,pkl-k8s,82,2,Kotlin,
apple,pkl-k8s-examples,181,6,,
apple,pkl-lang.org,56,14,JavaScript,
apple,pkl-neovim,121,9,Scheme,
apple,pkl-package-docs,10,4,Kotlin,
apple,pkl-pantry,174,17,Kotlin,
apple,pkl-project-commons,7,2,,pkl
apple,pkl-spring,26,2,Java,
apple,pkl-swift,130,10,Swift,
apple,pkl-swift-examples,63,5,Swift,
apple,pkl-vscode,81,2,TypeScript,
apple,pkl.tmbundle,3,2,,
apple,sample-backyard-birds,488,42,Swift,
apple,sample-cloudkit-coredatasync,188,14,Swift,
apple,sample-cloudkit-encryption,75,9,Swift,
apple,sample-cloudkit-privatedb,138,14,Swift,
apple,sample-cloudkit-privatedb-sync,162,16,Swift,
apple,sample-cloudkit-queries,112,10,Swift,
apple,sample-cloudkit-sharing,279,33,Swift,
apple,sample-cloudkit-sync-engine,142,10,Swift,
apple,sample-cloudkit-tooling,17,8,JavaScript,
apple,sample-cloudkit-zonesharing,46,4,Swift,
apple,sample-food-truck,1671,129,Swift,swift;swiftui
apple,servicetalk,881,168,Java,java;reactive;reactive-streams;microservices;framework;http;http2;rpc;grpc;netty
apple,sourcekit-lsp,3061,244,Swift,
apple,swift,65509,10138,C++,
apple,swift-3-api-guidelines-review,450,76,Swift,
apple,swift-algorithms,5630,413,Swift,algorithm;iterator;itertools
apple,swift-aoc-starter-example,190,21,Swift,advent-of-code;advent-of-code-2023;advent-of-code-2023-swift;swift
apple,swift-argument-parser,3164,301,Swift,cli;command-line;flag;option
apple,swift-asn1,122,15,Swift,asn1;der;swift
apple,swift-async-algorithms,2700,127,Swift,swift
apple,swift-async-dns-resolver,64,6,Swift,
apple,swift-atomics,1003,48,Swift,concurrency;synchronization
apple,swift-book,1627,142,Markdown,
apple,swift-cassandra-client,83,14,Swift,
apple,swift-certificates,195,32,Swift,certificates;swift;x509
apple,swift-clang,674,178,C++,
apple,swift-clang-tools-extra,13,19,C++,
apple,swift-cluster-membership,196,18,Swift,distributed-systems;swift;server-side-swift;swift-on-server
apple,swift-cmake-examples,67,4,CMake,
apple,swift-cmark,254,83,C,
apple,swift-collections,3445,257,Swift,collection;container;deque;dequeue;hash;ordered-dictionary;ordered-set;sequence;queue
apple,swift-collections-benchmark,316,23,Swift,
apple,swift-community-hosted-continuous-integration,106,64,,
apple,swift-compiler-rt,96,66,C,
apple,swift-corelibs-foundation,5148,1107,Swift,
apple,swift-corelibs-libdispatch,2404,451,C,
apple,swift-corelibs-xctest,1113,273,Swift,
apple,swift-crypto,1390,143,C,cryptography;elliptic-curves;hash-functions;ciphers;ecdsa;ecdh;eddsa;boringssl;swift-crypto;swift
apple,swift-distributed-actors,562,54,Swift,swift;distributed-systems;actors;actor-model
apple,swift-distributed-tracing,189,22,Swift,distributed-systems;tracing;distributed-tracing;swift
apple,swift-distributed-tracing-baggage-core,12,11,Swift,swift;distributed-tracing;sswg
apple,swift-distributed-tracing-extras,31,3,Swift,
apple,swift-docc,1076,102,Swift,
apple,swift-docc-plugin,295,45,Swift,
apple,swift-docc-render,294,49,JavaScript,
apple,swift-docc-render-artifact,13,8,,
apple,swift-docc-symbolkit,162,34,Swift,
apple,swift-docker,1323,176,Dockerfile,
apple,swift-driver,764,176,Swift,
apple,swift-evolution,14907,2367,Markdown,
apple,swift-evolution-staging,35,23,Swift,
apple,swift-experimental-string-processing,263,47,Swift,
apple,swift-format,2265,205,Swift,
apple,swift-foundation,2116,124,Swift,
apple,swift-foundation-icu,55,6,C,
apple,swift-getting-started-cli,16,2,Swift,
apple,swift-getting-started-package-library,10,2,Swift,
apple,swift-http-structured-headers,151,24,Swift,http;structured-fields;swift;headers
apple,swift-http-types,813,34,Swift,
apple,swift-installer-scripts,64,33,CMake,
apple,swift-integration-tests,106,77,Python,
apple,swift-internals,182,70,HTML,
apple,swift-issues,5,2,,
apple,swift-libcxx,18,21,C++,
apple,swift-llbuild,1063,196,C++,build-system;swift;llbuild;llvm;build-tool
apple,swift-llbuild2,280,29,Swift,
apple,swift-lldb,671,216,C++,
apple,swift-llvm,814,192,LLVM,
apple,swift-llvm-bindings,71,5,Swift,
apple,swift-lmdb,22,13,C,
apple,swift-log,3240,266,Swift,logging;swift-server
apple,swift-markdown,2547,163,Swift,
apple,swift-metrics,607,53,Swift,metrics;swift-server
apple,swift-metrics-extras,40,13,Swift,
apple,swift-mmio,121,6,Swift,embedded;mmio;swift
apple,swift-nio,7696,610,Swift,swift;asynchronous-io;networking;event-driven;high-performance;non-blocking-io;non-blocking;swiftnio;swift5;swift-server
apple,swift-nio-examples,229,55,Swift,
apple,swift-nio-extras,186,70,Swift,swiftnio;swift5
apple,swift-nio-http2,446,73,Swift,swiftnio;http2;async;beta;swift5
apple,swift-nio-imap,92,13,Swift,
apple,swift-nio-nghttp2-support,13,15,Swift,
apple,swift-nio-ssh,365,48,Swift,
apple,swift-nio-ssl,380,139,C,tls;swiftnio;swift5;tls-support
